nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants,critical_rate,grade_a_rate,inspection_frequency,viability_score,risk_bucket,final_score,similar_ntas,rank
QN44,3,High Opportunity,0.985014902070824,0.0,0.9691742317392392,0.0,0.34062422447202,148071.0,0.7667183149559964,0.887871640891244,0.4294930198863986,0.6191482586978907,0.0,21,0,0.38333333333333336,0.4166666666666667,2.857142857142857,0.32467546829714355,High,0.8466107471834541,"QN33,SI35,SI07",1
SI14,3,High Opportunity,0.775571851541788,0.0,1.0,0.0,0.0666692748331928,148071.0,0.6290382286884708,0.9054780511852276,0.2469630982719129,1.0,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.7673455938245887,"QN25,SI35,BK68",2
QN33,3,High Opportunity,0.932631612129773,0.0,0.8459087403526235,0.0,0.0976408794172762,148071.0,0.8162404702593021,0.980433041384706,0.461267102656159,0.4310558341439631,0.0,18,0,0.4567901234567901,0.3333333333333333,4.5,0.2155896798280045,High,0.7545340769585596,"BX29,QN44,MN14",3
BK58,3,High Opportunity,1.0,0.0,0.8029448739825326,0.0,0.3294462858756339,148071.0,0.7813390568370324,0.9010624383620378,0.2699696204122536,0.2370570378834632,0.0,81,0,0.5362318840579711,0.24057971014492754,4.2592592592592595,0.09573665565804892,High,0.7403252807246229,"QN56,BX29,QN30",4
QN25,3,High Opportunity,0.7373904819440963,0.0,0.8953026989763908,0.0,0.0586781465981187,148071.0,0.5857836144682762,0.886848751018784,0.3713761409536957,0.8307743339634655,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.7101941255760682,"SI35,SI14,BK68",5
SI35,3,High Opportunity,0.7258117234483172,0.0,0.8527495533476065,0.0,0.049413071622402,148071.0,0.5847507105343763,0.9048994260221864,0.4559580424335994,0.7560847931619844,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.688541363926243,"QN25,SI14,BK68",6
QN30,3,High Opportunity,0.7888700778246986,0.0,0.7617885041301179,0.0,0.1116483224629169,148071.0,0.6116613525542902,0.8406152926106726,0.6264342678443713,0.4647159683402368,0.0,39,0,0.5490196078431373,0.2679738562091503,3.923076923076923,0.10668135475398527,High,0.6415997037327238,"QN56,BX29,BK58",7
BX29,3,High Opportunity,0.7817163883749871,0.0,0.7382576004828947,0.0,0.1668901519912861,148071.0,0.596269492595342,0.7888597804820905,0.5967794305770623,0.4245407391023882,0.0,67,0,0.5578512396694215,0.33884297520661155,3.611940298507463,0.15135388702761848,High,0.6382603729486764,"QN30,QN56,BK58",8
BK68,3,High Opportunity,0.6038242148491115,0.0,0.7485736533619277,0.0,0.2178578719565445,148071.0,0.4552245036964635,0.6171132145559033,0.5085654343254206,0.7136963126182266,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.5980760004922892,"BK09,QN25,SI35",9
QN56,3,High Opportunity,0.7391809421026736,0.0,0.672070802720035,0.0,0.1622183570217027,148071.0,0.5585730601035573,0.7545544441435282,0.4708322777096825,0.3451581848151545,0.0,32,0,0.5285714285714286,0.2785714285714286,4.375,0.12804598764186542,High,0.5901098954574565,"QN30,BX29,BK58",10
SI07,3,High Opportunity,0.662873328597924,0.0,0.6211022015714628,0.0,0.3541670938719327,148071.0,0.5087183722510399,0.6398711628444674,0.4666887310755971,0.3493562853787671,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.5707070652756282,"BK27,QN06,BK40",11
MN14,3,High Opportunity,0.6540133090203538,0.0116279069767441,0.6650013725087672,1.0,0.4361353806802888,148071.0,0.5061952825507001,0.6239887452775279,0.2661232903824356,0.651414377222322,0.2,86,1,0.47249190938511326,0.343042071197411,3.5930232558139537,0.21193393006326397,High,0.5699926586243012,"QN33,QN44,SI14",12
QN17,1,Growing Market,0.7292050519106005,0.019047619047619,0.6236496522997139,2.0,0.9001782548209537,148071.0,0.5708367977054007,0.655112965569427,0.142791866194306,0.5728300652153528,0.4,105,2,0.5236051502145923,0.2918454935622318,4.438095238095238,0.14087925015234035,High,0.5693177317145939,"BK61,BK42,SI45",13
BK09,3,High Opportunity,0.5641099459735646,0.0,0.6905177648878112,0.0,0.6230148666629478,96213.0,0.4415912778442529,0.5574633928390265,0.6145410344580495,0.6476720580822696,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.5589679375524237,"BK68,MN28,BK25",14
BK60,3,High Opportunity,0.6267680711896088,0.0,0.6821387683574991,0.0,0.3301544689140505,148071.0,0.481235467724619,0.6147059059022606,0.9128146004351964,0.5355581029482767,0.0,86,0,0.506631299734748,0.2864721485411141,4.383720930232558,0.14849035892027007,High,0.5532608076028972,"MN40,QN20,QN30",15
BK25,3,High Opportunity,0.5939475108822565,0.0,0.6257412254844954,0.0,0.7935808222320464,148071.0,0.4751740844042518,0.5597496412109622,0.8288870241033208,0.4627808804136669,0.0,4,0,0.0,0.0,1.0,0.2855842660393672,High,0.5449923477545742,"QN35,QN06,MN28",16
BX34,0,Low Demand,0.6476619390684262,0.0,0.5504853100173615,0.0,0.1428493149276943,148071.0,0.4799564788500608,0.6839891320114702,0.0036974686895412,0.2194037681198023,0.0,142,0,0.44902912621359226,0.4830097087378641,2.9014084507042255,0.3277561096264512,High,0.5448101215596053,"BK40,BK27,QN06",17
MN40,3,High Opportunity,0.5977226099707609,0.0,0.677434811401262,0.0,0.4284081736646919,148071.0,0.4661419857443256,0.5814106726183109,0.8354977942409969,0.5689499529111289,0.0,37,0,0.47058823529411764,0.2549019607843137,4.135135135135135,0.15024939419712305,High,0.5401128473882337,"BK60,QN20,BX39",18
