nta_id,cluster_id,market_type,demand_score,halal_supply_rate,gap_score,halal_cuisine_diversity,demand_per_capita,population,demand_ci_lo,demand_ci_hi,cluster_confidence,latent_demand_score,halal_cuisine_diversity_norm,total_restaurants,halal_restaurants
BK23,0,Low Demand,0.3301135473566187,0.0,0.3265632098075357,0.0,0.023833091991492892,148071.0,0.15908984076338198,0.45716623854629285,0.8596711376699063,0.21130273868639743,0.0,4,0
BK26,0,Low Demand,0.5461158045971203,0.0,0.4367675946598484,0.0,0.04669040399327742,148071.0,0.36342084362372007,0.6899842326626324,0.37544501513072154,0.12571086588985547,0.0,4,0
BK30,0,Low Demand,0.1605504668771648,0.0,0.15938167353740798,0.0,0.0,148071.0,0.010480741793785607,0.2056717652757185,0.6491162739957583,0.1039738826925153,0.0,34,0
BK32,0,Low Demand,0.38617680273509236,0.0,0.4539684830323135,0.0,0.11512494137699117,148071.0,0.28155342373345205,0.4574149643207169,0.1706422703261199,0.4028310443201571,0.0,55,0
BK35,0,Low Demand,0.36979638687210226,0.0,0.45271985266273107,0.0,0.1911908629193918,148071.0,0.290548181783965,0.42584073259271904,0.10835915530762606,0.4247004338936173,0.0,66,0
BK40,0,Low Demand,0.6333881622284144,0.0,0.5385998737707884,0.0,0.05957349694697804,148071.0,0.4564978716052034,0.7644938395329591,0.05110554601707815,0.2151019824390422,0.0,4,0
BK45,0,Low Demand,0.4870515209680988,0.0,0.4747411702888704,0.0,0.1772753571397827,148071.0,0.3657455224265403,0.5284414239610034,0.2830458899278967,0.2964577215028039,0.0,4,0
BK46,0,Low Demand,0.3505892741253655,0.0,0.3317899761654013,0.0,0.08467065075673623,148071.0,0.24490591121789318,0.4355414873048981,0.7973259284853398,0.19189651418376197,0.0,4,0
BK50,0,Low Demand,0.12748864887909742,0.0,0.21659739523658122,0.0,0.007672881590588298,148071.0,0.034043307617104356,0.20938740767920874,0.6725517801090527,0.27734468621208075,0.0,59,0
BK72,0,Low Demand,0.3392689900890376,0.0,0.3129598014153027,0.0,0.054633666725824995,148071.0,0.2150639296526296,0.43983755082624637,0.7763521417859689,0.16814053524447112,0.0,4,0
BK76,0,Low Demand,0.13702256630050957,0.0,0.287586417093027,0.0,0.1602881130928516,148071.0,0.14735625232397706,0.23522963758261847,0.41572469401954193,0.4166184626169245,0.0,137,0
BK81,0,Low Demand,0.5516419530819939,0.0,0.4383862148748072,0.0,0.04400333169982643,148071.0,0.36694414065956804,0.7042266967791746,0.3662293326838379,0.12092329779309186,0.0,53,0
BK82,0,Low Demand,0.10111390195249219,0.0,0.1859695325635456,0.0,0.02238199917607094,148071.0,0.06058238560667272,0.20294769736379328,0.6498682237911558,0.25064778168581214,0.0,90,0
BK85,0,Low Demand,0.4072048005284418,0.0,0.4054752383909706,0.0,0.013739680745460184,148071.0,0.17311326321204834,0.6007740195934201,0.657879049328302,0.26638080968815714,0.0,4,0
BK88,0,Low Demand,0.3648996669839032,0.0,0.4080999382183759,0.0,0.5124614222147995,148071.0,0.3145080881702485,0.3979250930892771,0.5882789429084602,0.33551667478969377,0.0,54,0
BK90,0,Low Demand,0.22976093672460915,0.0,0.3157246848308589,0.0,0.13320534613740054,148071.0,0.19280750114078482,0.31527958047876253,0.6988449656570852,0.3383840473315202,0.0,4,0
BK91,0,Low Demand,0.023617308595420727,0.0,0.1149795170955357,0.0,0.004879415955859013,148071.0,0.0131978770735758,0.11053921964112778,0.5567104255373876,0.21331586964715252,0.0,49,0
BK95,0,Low Demand,0.04319994667199886,0.0,0.10017061931853682,0.0,0.0,148071.0,0.005004602450144967,0.10384949805339538,0.5731848133255754,0.15190496835298634,0.0,4,0
BK96,0,Low Demand,0.37831355134958916,0.0,0.3132174912436585,0.0,0.021510440776082666,148071.0,0.18195355593371218,0.5276570123954578,0.6470649074254666,0.11013116864795172,0.0,4,0
BX14,0,Low Demand,0.4151187915293519,0.0,0.3534434424550815,0.0,0.04340322511307409,148071.0,0.2515762704501969,0.5354829173104974,0.6295786309075072,0.14194643278134023,0.0,22,0
BX34,0,Low Demand,0.6476619390684262,0.0,0.5504853100173615,0.0,0.14284931492769437,148071.0,0.4799564788500608,0.6839891320114702,0.0036974686895412247,0.2194037681198023,0.0,142,0
BX36,0,Low Demand,0.11690771142896257,0.0,0.136956017189436,0.0,0.0,148071.0,0.008071900880671112,0.16232235993170813,0.6293540769350807,0.12092329779309186,0.0,48,0
BX41,0,Low Demand,0.3933118292675766,0.0,0.27270928095593205,0.0,0.0,148071.0,0.051316701949486204,0.6837722339831621,0.5165300006975653,0.0,0.0,46,0
BX63,0,Low Demand,0.3423095458597251,0.0,0.3191934931456558,0.0,0.06437223291295378,148071.0,0.2258664533903188,0.4371417769970934,0.7871129953619496,0.17706540707466914,0.0,55,0
MN01,0,Low Demand,0.28940359650883346,0.008547008547008548,0.2509526108771998,1.0,0.13267023185286295,60978.0,0.18588264959951437,0.38827765513546647,0.43540654066995943,0.2512450301650055,0.2,117,1
MN04,0,Low Demand,0.03197604006577315,0.019230769230769232,0.020115254553904813,1.0,0.14588139731969343,101256.0,0.0816508961506506,0.15101726266884766,0.17300994150575058,0.31606525279597514,0.2,52,1
MN06,0,Low Demand,0.035002959959577036,0.0,0.17598608721632522,0.0,0.022183468922802676,147748.0,0.0417144824258618,0.14403365960600029,0.4911297396554665,0.32821643053889954,0.0,4,0
MN09,0,Low Demand,0.3401515668762906,0.0,0.44703450221457486,0.0,0.4257570201120374,110193.0,0.2871599906076805,0.3886958629723069,0.048217108814600944,0.4568682167785679,0.0,4,0
MN21,0,Low Demand,0.3411198851405583,0.0,0.4046997063750443,0.0,0.24150474081732898,148071.0,0.2799854825619316,0.39580286270121445,0.5256250133439333,0.3638304295517734,0.0,4,0
MN33,0,Low Demand,0.2878420277824282,0.0,0.37793177479942225,0.0,0.20870895320396496,148071.0,0.24245697776883077,0.3555118418410568,0.5218043998446005,0.3858386026322729,0.0,105,0
MN34,0,Low Demand,0.12226212862981546,0.0,0.19676644661194317,0.0,0.06795121211474801,148071.0,0.11144883404805363,0.22815437807710653,0.6857406694976229,0.24228302964740472,0.0,33,0
MN36,0,Low Demand,0.23877531524492362,0.0,0.3390121107927818,0.0,0.18274780882289315,148071.0,0.20888101257237177,0.3175268619515047,0.5876375321365958,0.37524151361936764,0.0,60,0
MN99,0,Low Demand,0.20690623231686625,0.0,0.32399933844276957,0.0,0.047882201092204923,148071.0,0.13598617754466538,0.3080686155794019,0.525775250725472,0.3905671401890299,0.0,4,0
QN01,0,Low Demand,0.11091374379815906,0.0,0.17328968167062828,0.0,0.0024218039581247065,191105.0,0.017364040698823226,0.1768202025507337,0.6707775056454908,0.20851696487295404,0.0,91,0
QN03,0,Low Demand,0.04128858520600729,0.0,0.1104756168351234,0.0,0.007751945762456864,171414.0,0.023090589638475337,0.1342722670933255,0.5772179765533108,0.17706540707466914,0.0,4,0
QN08,0,Low Demand,0.3696404068633889,0.0,0.39461172466755223,0.0,0.057229629319087295,148071.0,0.23665888399951868,0.47010543546485517,0.7007307612424095,0.29922573328323654,0.0,26,0
QN12,0,Low Demand,0.20308828049208982,0.0,0.2992707550960764,0.0,0.011119228200745108,227237.0,0.0822760517360843,0.30414316047293594,0.6625272075709018,0.3427972948212011,0.0,30,0
QN19,0,Low Demand,0.10489014108815328,0.0,0.13083646195299448,0.0,0.0,148071.0,0.007497503559252756,0.15165710175592792,0.6218462770618481,0.12571086588985547,0.0,4,0
QN21,0,Low Demand,0.3585080544625918,0.0,0.39201245604539336,0.0,0.09833577475692139,148071.0,0.25690141526363713,0.43771314693938046,0.6966996505939703,0.3103011138953598,0.0,23,0
QN38,0,Low Demand,0.35519436697604345,0.0,0.4188969554669022,0.0,0.13304805058838162,148071.0,0.26779050150116307,0.4244935942201243,0.44432339183285613,0.3734324360378618,0.0,30,0
