market_type,demand_score_mean,latent_demand_score_mean,halal_supply_rate_mean,halal_cuisine_diversity_norm_mean,nta_count
Established Hub,0.6270322223845652,0.4682749246309825,0.0752976100391596,0.5384615384615384,13
Growing Market,0.39819409889395413,0.47616433230799987,0.020149525574346495,0.3128205128205129,39
High Opportunity,0.6055421391857997,0.515525031778711,0.001102480825804567,0.014634146341463417,41
Low Demand,0.2861469275040112,0.24761133139564787,0.0011660042181684802,0.01568627450980392,51
